                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.99519,                  0.858,                 1.0294,                0.75017,                0.80204,                0.83285,                 0.5301,                 1.2636,                 1.0031,                 1.2262,             0.00010736,             0.00010736,             0.00010736
                     64,                0.97648,                0.82491,                 1.0179,                 0.7901,                0.78669,                0.83934,                0.52611,                 1.2755,                 1.0069,                  1.228,             0.00010461,             0.00010461,             0.00010461
                     65,                0.97602,                0.82432,                 1.0268,                0.74239,                0.78863,                0.81776,                0.52748,                 1.2281,                 1.0363,                 1.2186,             0.00010186,             0.00010186,             0.00010186
                     66,                 0.9595,                0.81132,                 1.0154,                0.64659,                0.75124,                0.73003,                0.46972,                 1.2696,                 1.2034,                 1.2267,             9.9107e-05,             9.9107e-05,             9.9107e-05
                     67,                0.97436,                0.81293,                 1.0204,                0.75636,                0.80373,                0.83434,                0.53625,                 1.2324,                  1.009,                  1.206,             9.6355e-05,             9.6355e-05,             9.6355e-05
                     68,                 0.9872,                0.82425,                 1.0261,                 0.7447,                0.78427,                0.80707,                0.52042,                 1.2374,                 1.0349,                 1.2117,             9.3603e-05,             9.3603e-05,             9.3603e-05
                     69,                0.96517,                0.79619,                 1.0162,                0.76975,                0.79984,                0.83944,                0.54348,                 1.2212,                0.96101,                 1.2107,              9.085e-05,              9.085e-05,              9.085e-05
                     70,                0.95973,                0.78897,                 1.0152,                0.74387,                0.71992,                0.78414,                0.51181,                 1.2242,                 1.0863,                 1.2147,             8.8098e-05,             8.8098e-05,             8.8098e-05
                     71,                0.96773,                0.78767,                 1.0128,                0.78075,                0.83606,                0.86717,                0.55037,                 1.2407,                0.92931,                 1.2294,             8.5346e-05,             8.5346e-05,             8.5346e-05
                     72,                 0.9505,                0.78122,                 1.0104,                0.69019,                0.76285,                0.76899,                0.49635,                 1.2499,                 1.1424,                 1.2218,             8.2594e-05,             8.2594e-05,             8.2594e-05
                     73,                0.94737,                0.77779,                  1.007,                0.79747,                 0.7869,                0.85512,                0.55429,                 1.2306,                0.96127,                 1.2135,             7.9842e-05,             7.9842e-05,             7.9842e-05
                     74,                0.96317,                0.77126,                 1.0189,                0.73757,                0.73352,                0.77968,                0.50942,                 1.2345,                 1.1455,                 1.2135,             7.7089e-05,             7.7089e-05,             7.7089e-05
                     75,                 0.9499,                0.77058,                 1.0149,                 0.8081,                0.81237,                0.86653,                0.55262,                 1.2392,                0.94361,                 1.2234,             7.4337e-05,             7.4337e-05,             7.4337e-05
                     76,                0.94527,                0.76371,                   1.01,                0.77206,                0.78758,                0.83945,                0.53809,                 1.2258,                0.98244,                 1.2226,             7.1585e-05,             7.1585e-05,             7.1585e-05
                     77,                 0.9546,                0.77289,                 1.0129,                0.79151,                 0.8159,                0.85844,                0.55424,                 1.2196,                0.94028,                  1.211,             6.8833e-05,             6.8833e-05,             6.8833e-05
                     78,                0.91043,                0.73756,                0.99817,                0.78277,                0.81645,                0.85324,                0.55284,                 1.2222,                0.93018,                 1.2114,             6.6081e-05,             6.6081e-05,             6.6081e-05
                     79,                0.94787,                0.75584,                 1.0034,                0.78202,                  0.797,                0.85133,                0.55494,                 1.2027,                0.93924,                 1.2104,             6.3328e-05,             6.3328e-05,             6.3328e-05
                     80,                0.90923,                0.74033,                 1.0052,                0.75357,                0.78191,                0.80853,                0.53019,                 1.2126,                 1.0362,                  1.205,             6.0576e-05,             6.0576e-05,             6.0576e-05
                     81,                0.94606,                0.74385,                 1.0025,                0.77894,                0.79342,                0.83714,                 0.5375,                 1.2506,                0.96875,                 1.2186,             5.7824e-05,             5.7824e-05,             5.7824e-05
                     82,                0.93051,                0.73251,                 1.0037,                0.80834,                0.83876,                0.88637,                0.57124,                 1.2297,                0.88378,                 1.2208,             5.5072e-05,             5.5072e-05,             5.5072e-05
                     83,                0.92785,                0.73517,                 1.0064,                0.80783,                 0.8363,                0.88877,                0.57196,                  1.225,                0.87751,                 1.2139,              5.232e-05,              5.232e-05,              5.232e-05
                     84,                 0.9043,                0.71037,                0.99995,                0.80409,                0.82356,                0.87433,                0.56315,                  1.226,                0.90319,                 1.2144,             4.9567e-05,             4.9567e-05,             4.9567e-05
                     85,                0.92027,                0.73125,                 1.0052,                0.83186,                0.81325,                0.87736,                0.57172,                 1.2021,                0.89278,                 1.2041,             4.6815e-05,             4.6815e-05,             4.6815e-05
                     86,                0.92522,                0.72989,                 1.0053,                0.78137,                0.79184,                0.83709,                0.54465,                 1.2169,                0.97117,                 1.2164,             4.4063e-05,             4.4063e-05,             4.4063e-05
                     87,                0.92673,                 0.7244,                 1.0043,                0.80074,                0.81018,                0.85348,                0.55199,                 1.2345,                0.94459,                 1.2219,             4.1311e-05,             4.1311e-05,             4.1311e-05
                     88,                0.90307,                0.71529,                0.99156,                0.77103,                 0.7875,                0.82861,                0.54335,                 1.2158,                 1.0012,                 1.2051,             3.8559e-05,             3.8559e-05,             3.8559e-05
                     89,                0.93556,                0.71103,                  1.001,                  0.768,                0.82935,                0.85797,                0.56125,                 1.2145,                0.94071,                 1.2084,             3.5806e-05,             3.5806e-05,             3.5806e-05
                     90,                0.89324,                0.71317,                0.99158,                0.79033,                0.80045,                 0.8485,                0.55587,                 1.2075,                0.96143,                 1.2096,             3.3054e-05,             3.3054e-05,             3.3054e-05
                     91,                0.88692,                 0.6702,                 1.0185,                0.74557,                0.78654,                0.81737,                0.54013,                 1.2029,                 1.0247,                  1.203,             3.0302e-05,             3.0302e-05,             3.0302e-05
                     92,                0.88093,                0.64811,                 1.0122,                0.79937,                0.80808,                0.86964,                0.56831,                 1.2082,                0.92919,                 1.2064,              2.755e-05,              2.755e-05,              2.755e-05
                     93,                0.87744,                0.64143,                 1.0062,                0.81538,                0.81277,                0.87493,                0.56836,                 1.2134,                0.90867,                 1.2138,             2.4798e-05,             2.4798e-05,             2.4798e-05
                     94,                0.86796,                0.62577,                 1.0011,                0.79807,                0.81177,                0.86286,                0.56612,                 1.2094,                0.92877,                 1.2191,             2.2045e-05,             2.2045e-05,             2.2045e-05
                     95,                0.85351,                0.61218,                0.99332,                0.77802,                0.82376,                 0.8621,                0.56881,                 1.2069,                0.92558,                 1.2163,             1.9293e-05,             1.9293e-05,             1.9293e-05
                     96,                 0.8574,                0.61267,                0.99441,                0.80308,                0.79536,                0.86714,                0.57074,                 1.1961,                0.91588,                 1.2074,             1.6541e-05,             1.6541e-05,             1.6541e-05
                     97,                0.85598,                0.61388,                0.99561,                0.79295,                0.80718,                0.86606,                0.56455,                 1.2115,                0.91959,                 1.2157,             1.3789e-05,             1.3789e-05,             1.3789e-05
                     98,                0.85221,                0.60826,                0.98764,                0.80537,                0.80756,                0.87039,                0.57132,                 1.2067,                  0.912,                 1.2151,             1.1037e-05,             1.1037e-05,             1.1037e-05
                     99,                0.84701,                0.60593,                0.98807,                0.80616,                0.80494,                0.86915,                0.56936,                 1.2064,                0.90933,                 1.2162,             8.2844e-06,             8.2844e-06,             8.2844e-06
                    100,                0.85104,                0.61238,                0.99376,                0.79645,                0.80678,                0.86723,                 0.5695,                 1.2046,                0.91373,                 1.2145,             5.5322e-06,             5.5322e-06,             5.5322e-06
